Name;Set;Imagefile;Side;Culture;Type;Twilight;Strength;Vitality;Resistance;Signet/Site#;Unique;Set#;Rarity;Card#;Notes;Lore;Text
The Prancing Pony (P);Promotional;LOTR00001;Site;Site;Site;;;;;1;;00;P;001;;;Fellowship: Add a burden to play Aragorn from your draw deck.
Bill the Pony (P);Promotional;LOTR00002;Free;Shire;Possession;00;;;;;U;00;P;002;Lists: ERL, MXL. When the fellowship moves with Bill the Pony to an underground site, the Shadow number of that site is reduced before Bill the Pony is discarded.;;Bearer must be a Hobbit companion. The Shadow number of each site is -1. Discard Bill the Pony if he is at an underground site during the fellowship or regroup phase.
Fireworks (P);Promotional;LOTR00003;Free;Gandalf;Event;01;;;;;;00;P;003;;;Spell. Fellowship: Spot Gandalf to shuffle up to 2 [GANDALF] or up to 2 [SHIRE] cards from your discard pile into your draw deck.
Council Courtyard (P);Promotional;LOTR00004;Site;Site;Site;00;;;;3;;00;P;004;;;Sanctuary. When the fellowship moves from Council Courtyard, remove [2].
Horn of Boromir (P);Promotional;LOTR00005;Free;Gondor;Possession;00;;;;;U;00;P;005;Lists: MXL;;Bearer must be Boromir. Maneuver: Exert Boromir and spot an ally. Until the regroup phase, that ally is strength +3 and participates in archery fire and skirmishes.
Balin's Tomb (P);Promotional;LOTR00006;Site;Site;Site;03;;;;4;;00;P;006;;;Underground. Maneuver: Discard a tale from play or from hand to heal your companion.
Book of Mazarbul (P);Promotional;LOTR00007;Free;Dwarven;Possession;02;;;;;U;00;P;007;Game text is an erratum. ;;Tale. Bearer must be a Dwarf. At the start of each fellowship phase when the fellowship is at site 4 or higher, you may draw a card for each Dwarf companion.
Galadriel's Glade (P);Promotional;LOTR00008;Site;Site;Site;03;;;;6;;00;P;008;;;Sanctuary. Fellowship: Exert an Elf to look at an opponent's hand.
Phial of Galadriel (P);Promotional;LOTR00009;Free;Elven;Possession;00;;;;;U;00;P;009;;;To play, exert an Elf. Bearer must be the Ring-bearer. Bearer's resistance is +2.
The Balrog, Durin's Bane (P);Promotional;LOTR00010;Shadow;Moria;Minion - Balrog;12;17;5;;4;U;00;P;010;;;Damage +1. Fierce. While you can spot The Balrog, discard all other minions. Skip the archery phase. Discard The Balrog if not underground.
Saruman, Servant of the Eye (P);Promotional;LOTR00011;Shadow;Isengard;Minion - Wizard;04;08;4;;4;U;00;P;011;;;Saruman may not take wounds during the archery phase and may not be assigned to a skirmish. Assignment: Exert Saruman to assign an [ISENGARD] minion to a companion (except the Ring-bearer). That companion may exert to prevent this.
Gimli, Son of Gloin (P);Promotional;LOTR00012;Free;Dwarven;Companion - Dwarf;02;06;3;06;Gandalf;U;00;P;012;;;Damage +1. Skirmish: Exert Gimli to make him strength +2.
