4676: a
3562: to
2295: the
2121: is
1947: you
1752: minion
1621: each
1580: spot
1531: this
1283: discard
1228: play
1208: exert
1113: companion
1054: strength
1028: or
1008: your
1000: from
986: an
907: bearer
902: may
869: +1
849: and
836: of
817: make
803: if
774: [2]
705: skirmish
678: while
594: skirmish:
589: card
584: site
579: add
553: be
552: for
551: must
545: hand
536: that
520: can
513: time
502: at
478: remove
476: wound
473: phase
470: damage
462: draw
460: condition
438: man
419: +2
409: skirmishing
398: [3]
390: free
384: fellowship
383: peoples
374: fierce
372: when
357: twilight
337: cards
316: [rohan]
316: [gondor]
313: deck
311: possession
310: [1]
310: on
306: in
299: regroup
293: cost
292: take
292: player
268: character
267: pile
259: regroup:
257: he
256: burden
254: orc
252: maneuver:
249: support
247: area
245: plays
241: until
239: token
236: start
231: wins
224: -1
224: ring-bearer
220: heal
220: [sauron]
212: companions
205: hobbit
205: fellowship:
203: it
202: here
202: response:
199: him
198: has
198: shadow
196: elf
192: resistance
190: not
189: another
189: [men]
188: [orc]
185: shadow:
183: unbound
182: prevent
182: gandalf
182: +3
181: nazgul
178: involving
171: archery
168: dwarf
166: x
166: threat
156: twice
155: hunter
155: during
149: [4]
148: -2
148: control
147: moves
144: minions
144: his
143: cannot
137: [elven]
137: [isengard]
136: archer
136: about
136: other
133: limit
132: top
131: [gandalf]
131: [wraith]
129: tokens
126: who
125: place
124: more
122: assigned
121: [uruk-hai]
120: ring-bound
120: burdens
119: her
117: total
117: event
114: any
114: into
113: ranger
113: number
112: ulaire
106: uruk-hai
105: ally
105: [raider]
104: its
104: [dwarven]
102: turn
99: reveal
98: battleground
98: smeagol
98: wounds
98: except
97: lurker
97: have
97: threats
97: [5]
97: aragorn
96: one
90: [6]
87: all
87: gollum
86: initiative
85: [shire]
83: transfer
82: underground
78: men
78: stacked
77: southron
75: +4
74: forest
74: frodo
73: weapon
73: opponent
73: bearing
72: less
71: archery:
70: assign
70: [moria]
70: region
68: with
67: plains
67: by
66: than
66: skirmishes
65: assignment:
64: end
63: played
63: roaming
61: mounted
61: spell
61: maneuver
61: she
60: revealed
60: gains
59: -3
58: wizard
58: instead
58: culture
57: choose
57: ring
57: theoden
57: defender
55: tale
55: return
55: non-hunter
54: gimli
54: cancel
54: loses
53: artifact
52: sam
52: are
52: game
51: valiant
50: [dunland]
50: fellowship's
50: move
50: borne
50: reinforce
50: besieger
49: saruman
49: [gollum]
48: killed
47: easterling
47: playing
47: river
47: toil
46: stack
46: faramir
45: tracker
45: legolas
45: eomer
45: discarded
44: -
43: where
43: exhausted
42: sanctuary
42: no
41: follower
41: bears
40: possessions
40: enduring
39: fortification
39: up
38: player's
37: knight
37: special
37: per
36: opponent's
36: arwen
36: unless
36: resolved
36: muster
35: then
35: sites
34: search
34: balrog
34: conditions
33: current
33: after
33: eowyn
33: dead
32: others
32: replace
32: ent
32: wounded
32: liberate
32: boromir
32: does
31: adventure
31: overwhelmed
31: mount
30: shuffle
30: next
29: over
29: mountain
29: random
28: bonuses
28: hobbits
28: merry
28: aid
28: ambush
28: pippin
26: beneath
26: times
26: bear
26: owner's
26: tripled
26: signet
26: gain
26: once
25: +5
25: pipeweed
25: witch-king
25: orcs
24: bilbo
24: dwelling
24: either
24: as
23: +x
23: elves
23: [10]
22: same
22: abilities
22: corsair
22: stealth
22: [7]
21: lose
21: vitality
20: path
20: wearing
20: exhaust
20: starting
19: minion's
19: use
19: takes
19: those
19: being
18: every
18: machine
18: marsh
18: troll
18: assigns
18: lemenya
17: text
17: fewer
17: denethor
17: there
17: grima
17: bottom
17: wraith
17: elrond
17: attea
16: discards
16: [9]
16: villager
16: two
16: cantea
15: 
15: -x
15: otsea
15: [0]
15: +6
15: isildur
15: lurtz
15: shelob
15: unwounded
15: galadriel
15: cultures
14: sauron
14: [8]
14: phases
14: weapons
14: engine
14: eomer's
13: treebeard
13: first
13: enquea
13: wears
13: events
13: exerts
13: necessary
13: home
13: -4
13: weather
13: replacing
12: whose
12: already
12: companion's
12: ability
12: used
12: rangers
12: warg-rider
12: pool
12: nelya
11: race
11: one:
11: toldea
11: following
11: turns
11: penalty
11: look
11: assignment
11: additional
11: was
11: again
10: ents
10: action
10: ugluk
10: allies
10: controls
10: only
10: wear
10: hunters
10: fire
10: characters
10: theodred
10: removed
10: reconcile
9: skip
9: ranged
9: [12]
9: tentacle
9: haldir
9: least
9: knights
9: nertea
9: archers
9: reconciles
9: unhasty
9: do
9: addition
9: regardless
9: way
8: bill
8: mounts
8: owner
8: elendil
8: erkenbrand
8: also
8: order
8: true:
8: exerted
8: berserk
8: three
8: moria
8: dies
8: menace
7: adds
7: chooses
7: allow
7: helm
7: name
7: reshuffle
7: could
7: cave
7: which
7: participate
7: [ringwraith]
7: gothmog
7: unable
7: rest
7: dwarves
7: horde
6: foul
6: triumph
6: pipes
6: named
6: orophin
6: trackers
6: minimum
6: chief
6: bearer's
6: them
6: orthanc
6: participates
6: grimbeorn
6: mouth
6: comes
6: otherwise
6: glorfindel
6: paying
6: ability:
6: apply
6: gamling
6: moved
6: hama
5: eligible
5: title
5: people's
5: celeborn
5: shield
5: did
5: armor
5: transferred
5: draws
5: equal
5: puts
5: races
5: site's
5: followers
5: effect
5: kill
5: madril
5: host
5: stampeding
5: desert
4: goldberry
4: 4[t]
4: army
4: sharku
4: involved
4: patrol
4: lord
4: riders
4: pony
4: corrupted
4: hobbit's
4: still
4: farmer
4: troop
4: owners
